bid,ask
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012796,0.012797
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012793,0.012798
0.012795,0.012797
0.012795,0.012797
0.012795,0.012797
0.012795,0.012797
0.012795,0.012797
0.012795,0.012797
0.012795,0.012797
0.012799,0.012803
0.012799,0.012803
0.012799,0.012802
0.012799,0.012802
0.012799,0.012802
0.012799,0.012802
0.012799,0.012802
0.012799,0.012803
0.012799,0.012802
0.012799,0.012802
0.012799,0.012802
0.012799,0.012802
0.012799,0.012801
0.012799,0.012809
0.012799,0.012809
0.012804,0.01281
0.012799,0.012809
0.012799,0.012809
0.012804,0.01281
0.012804,0.01281
0.012804,0.01281
0.012804,0.01281
0.012804,0.01281
0.012805,0.012811
0.012805,0.012811
0.012805,0.012811
0.012805,0.012811
0.012805,0.012811
0.012805,0.012811
0.012805,0.012811
0.012805,0.012811
0.012805,0.012809
0.012805,0.012809
0.012805,0.012809
0.012805,0.012808
0.012805,0.012808
0.012805,0.012808
0.012805,0.012808
0.012805,0.012808
0.012805,0.012808
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012805,0.012806
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012808,0.012809
0.012798,0.012799
0.012798,0.012799
0.012798,0.012799
0.012798,0.012799
0.012798,0.012799
